state,logger,address,meas_day,meas_night,metric
WA,Loc6,"232 Hale Road, Forrestfield",59.8,54.9,LAeq
WA,Loc7,"5 Pulchella Street, Wattle Grove",59.1,54.0,LAeq
WA,Loc8,"23 Marble Place, Forrestfield",56.9,53.6,LAeq
WA,Loc9,"39 Hardey East Road, Wattle Grove",54.5,51.8,LAeq
WA,Site A (High St Fremantle),"78 Holland Street, Fremantle",57.0,48.0,LA10
WA,Site B (High St Fremantle),"302 High Street, Fremantle",71.0,64.0,LA10
WA,Site C (High St Fremantle),"332 High Street, Fremantle",72.0,64.0,LA10
WA,Site D (High St Fremantle),"368 High Street, Fremantle",72.0,67.0,LA10
WA,Loc1 (Margaret River),"167 Rosa Brook Road, Margaret River",44.0,32.0,LA10
WA,Loc2 (Margaret River),"40 Riverslea Drive, Margaret River",48.0,38.0,LA10
TAS_ACT_NT,R1,"650 Main Road, Granton TAS",59.5,55.9,LA10
TAS_ACT_NT,R2,"5 George Street, Granton TAS",54.2,51.7,LA10
TAS_ACT_NT,R3,"15 Dickenson Drive, Granton TAS",59.6,56.6,LA10
TAS_ACT_NT,R4,"4 Forest Road, Granton TAS",66.9,63.6,LA10
TAS_ACT_NT,R5,"12 Rusts Road, Granton TAS",56.8,52.9,LA10
TAS_ACT_NT,R6,"10 Nielsen Esplanade, Bridgewater TAS",57.1,52.0,LA10
TAS_ACT_NT,R7,"4 Hayton Place, Bridgewater TAS",51.9,48.6,LA10
TAS_ACT_NT,R8,"49 Finlay Street, Bridgewater TAS",59.3,53.6,LA10
TAS_ACT_NT,R9,"44 Old Main Road, Bridgewater TAS",54.9,50.2,LA10
TAS_ACT_NT,R14,"2 Old Main Road, Bridgewater TAS",60.5,55.1,LA10
TAS_ACT_NT,NL1,"Archbishops House, Parkes, Canberra ACT",63.0,56.0,LAeq
TAS_ACT_NT,NL2,"1 London Circuit, Canberra ACT",61.0,54.0,LAeq
TAS_ACT_NT,NL3,"Police Station and RBA, Canberra ACT",57.0,54.0,LAeq
TAS_ACT_NT,NL4,"255 London Circuit, Canberra ACT",58.0,53.0,LAeq
TAS_ACT_NT,NL5,"ANU School of Art, 61 Marcus Clarke Street, Canberra ACT",57.0,50.0,LAeq
NSW,P01,"970 Pacific Highway, Lisarow",64.1,60.5,LAeq
NSW,P02,"25 Barkala Street, Lisarow",60.0,55.2,LAeq
NSW,P03,"20B Railway Crescent, Lisarow",54.7,50.6,LAeq
NSW,P04,"6/889 Pacific Highway, Lisarow",66.0,61.0,LAeq
NSW,NL1,"20 Coopernook Road, Coopernook",58.0,53.0,LAeq
NSW,NL2,"20 Coopernook Road, Coopernook",69.0,66.0,LAeq
NSW,NL3,"173 Harrington Road, Coopernook",59.0,53.0,LAeq
NSW,NL10,"48 President Avenue, Kogarah",66.0,63.0,LAeq
NSW,NL12,"23 President Avenue, Kogarah",68.0,66.0,LAeq
NSW,NL13,"63 President Avenue, Kogarah",64.0,63.0,LAeq
NSW,NL14,"138 President Avenue, Brighton- Le-Sands",70.0,65.0,LAeq
NSW,R.02,"22 Lilyfield Rd, Rozelle NSW 2039",57.0,54.0,LAeq
NSW,R.03,"69 Victoria Rd, Rozelle NSW 2039",70.0,68.0,LAeq
NSW,R.04,"27 Victoria Rd, Rozelle NSW 2039",71.0,67.0,LAeq
NSW,R.07,"24 Chapman Rd, Annandale NSW 2038",65.0,60.0,LAeq
NSW,R.08,"279 Johnston St, Annandale NSW 2038 (West facade)",63.0,58.0,LAeq
NSW,R.09,"279 Johnston St, Annandale NSW 2038 (East facade)",61.0,55.0,LAeq
NSW,I.01,"28 Warayama Pl, Rozelle NSW 2039",72.0,68.0,LAeq
NSW,I.02,"198 Victoria Rd, Rozelle NSW 2039",73.0,69.0,LAeq
NSW,L01,"Princes Highway, St Peters NSW 2044",75.1,72.1,LAeq
NSW,L02,"535 Princes Highway, Tempe NSW 2044",74.9,71.9,LAeq
NSW,L003,"18 Campbell Street, St Peters NSW 2044",68.0,61.0,LAeq
NSW,L03,"1 Fanning Street, Tempe NSW 2044",61.0,53.0,LAeq
NSW,L04,"Alexandra Canal, Tempe NSW 2044",63.6,58.1,LAeq
NSW,L05,"Canal Road, St Peters NSW 2044",66.5,63.1,LAeq
NSW,L06,"Qantas Drive, Mascot NSW 2020",72.5,70.5,LAeq
NSW,L07,"39 Kent Road, Botany NSW 2019",71.0,67.0,LAeq
NSW,L08,"289 King Street, Mascot NSW 2020",68.0,64.0,LAeq
NSW,L09,"105 Baxter Road, Mascot NSW 2020",67.0,62.0,LAeq
NSW,NL1,"498c-498d Pacific Highway, Boambee NSW 2450",54.0,51.0,LAeq
NSW,NL2,"North Boambee Road, North Boambee Valley NSW 2450",53.0,44.0,LAeq
NSW,NL3,"170 North Boambee Road, North Boambee Valley NSW 2450",56.0,51.0,LAeq
NSW,NL4,"12 Tamora Close, Coffs Harbour NSW 2450",59.0,52.0,LAeq
NSW,NL5,"20 Bennetts Road, Coffs Harbour NSW 2450",47.0,41.0,LAeq
NSW,NL6,"263c Shephards Lane, Coffs Harbour NSW 2450",47.0,47.0,LAeq
NSW,NL7,"191 Mackays Road, Coffs Harbour NSW 2450",45.0,40.0,LAeq
NSW,NL8,"429a-429b Pacific Highway North, Coffs Harbour NSW 2450",75.0,71.0,LAeq
NSW,NL9,"16 Fern Tree Place, Korora NSW 2450",57.0,54.0,LAeq
NSW,NL10,"1 Coachmans Close, Sapphire Beach NSW 2450",68.0,65.0,LAeq
NSW,NL11,"539 Pacific Highway, Boambee NSW 2450",65.0,61.0,LAeq
NSW,NL17,"33-37 Carmen Drive, Carlingford NSW 2118",56.6,52.5,snapshot
NSW,NL18A,"46 Westmore Drive, West Pennant Hills NSW 2125",54.9,49.8,snapshot
NSW,NL1,"79 Armitage Drive, Glendenning NSW 2761",60.0,55.0,LAeq
NSW,NL2,"20 Ridgeview Place, Oakhurst NSW 2761",60.0,48.0,LAeq
NSW,NL11,"20 Toulouse Street, Cecil Hills NSW 2171",56.0,50.0,LAeq
NSW,NL13,"23 Lightning Ridge Road, Hinchinbrook NSW 2168",57.0,49.0,LAeq
NSW,NL14,"53 Hemsworth Avenue, Middleton Grange NSW 2171",61.0,58.0,LAeq
NSW,NL17,"11 Skipton Lane, Prestons NSW 2170",59.0,58.0,LAeq
NSW,NL18,"1A Burley Road, Horsley Park NSW 2175",55.0,60.0,LAeq
VIC,Mord-0,"375 Old Dandenong Rd, Dingley Village VIC",53.0,45.0,LA10
VIC,Mord-1,"11 Ridder Ct, Dingley Village VIC",49.0,42.0,LA10
VIC,Mord-2,"14 Oploo Ct, Dingley Village VIC",49.0,40.0,LA10
VIC,Mord-3,"8 Torquay Cl, Dingley Village VIC",51.0,43.0,LA10
VIC,Mord-4,"2 Casco Pl, Dingley Village VIC",51.0,41.0,LA10
VIC,Mord-5,"34 Portland Pl, Waterways VIC",50.0,41.0,LA10
VIC,Mord-6,"5 Spoonbill Pl, Waterways VIC",49.0,43.0,LA10
VIC,Mord-7,"22 Jackie Ct, Aspendale Gardens VIC",51.0,43.0,LA10
VIC,Mord-8,"5 Pandan Pl, Aspendale Gardens VIC",48.0,40.0,LA10
VIC,Mord-9,"7 Ferntree Gr, Aspendale Gardens VIC",48.0,40.0,LA10
VIC,Mord-10,"29 Wells Rd, Aspendale Gardens VIC",59.0,53.0,LA10
VIC,Mord-11,"21 Soden Road, Bangholme VIC",60.0,52.0,LA10
VIC,Mord-12,"80 Soden Road, Bangholme VIC",58.0,51.0,LA10
VIC,WHP-Cal1,"444 Barkly Street, Ararat VIC",66.0,61.0,LA10
VIC,WHP-Cal2,"98 Buangor Road, Buangor VIC",66.0,61.0,LA10
VIC,WHP-Cal3,"6132 Western Highway, Middle Creek VIC",65.0,59.0,LA10
VIC,WHP-Cal4,"4919 Western Highway, Beaufort VIC",63.0,58.0,LA10
VIC,WHP-Amen1,"844 Hillside Road, Buangor VIC",53.0,52.0,LA10
VIC,WHP-Amen2,"70 Buangor-Ben Nevis Road, Buangor VIC",47.0,43.0,LA10
WA,A,"2 Redlands St, Bayswater WA",54.2,48.8,LAeq
WA,B,"16 Harvest Rd, Morley WA",58.8,54.4,LAeq
